Haus,house,Das ist mein Haus.,That is my house.,घर,वह मेरा घर है।
Hose,pants,Die Hose ist schwarz.,The pants are black.,पैंट,पैंट काला है.
Schuh,shoe,Der Schuh ist neu.,The shoe is new.,जूता,जूता नया है.
Hut,hat,Der Hut ist schwarz.,The hat is black.,टोपी,टोपी काली है.
Tal,valley,Das Tal ist grün.,The valley is green.,घाटी,घाटी हरी है.
Gras,grass,Das Gras ist nass.,The grass is wet.,घास,घास गीली है.
Tier,animal,Das Tier ist groß.,The animal is big.,जानवर,जानवर बड़ा है.
Vogel,bird,Der Vogel fliegt.,The bird is flying.,चिड़िया,पक्षी उड़ रहा है.
Fisch,fish,Der Fisch schwimmt.,The fish is swimming.,मछली,मछली तैर रही है.
Pferd,horse,Das Pferd läuft.,The horse is running.,घोड़ा,घोड़ा दौड़ रहा है.
Kuh,cow,Die Kuh gibt Milch.,The cow gives milk.,गाय,गाय दूध देती है.
Schwein,pig,Das Schwein schläft.,The pig is sleeping.,सुअर,सुअर सो रहा है.
Huhn,chicken,Das Huhn legt Eier.,The chicken lays eggs.,मुर्गी,मुर्गी अंडे देती है.
Ei,egg,Das Ei ist frisch.,The egg is fresh.,अंडा,अंडा ताज़ा है.
Laden,shop/store,Der Laden ist offen.,The shop is open.,दुकान,दुकान खुली है.
Kaufhaus,department store,Das Kaufhaus ist groß.,The department store is big.,डिपार्टमेंट स्टोर,डिपार्टमेंटल स्टोर बड़ा है.
Bar,bar,Die Bar ist voll.,The bar is full.,छड़,बार भरा हुआ है.
Ticket,ticket,Das Ticket ist teuer.,The ticket is expensive.,टिकट,टिकट महंगा है.
Mantel / coat,coat,Der Mantel ist warm.,The coat is warm.,कोट,कोट गर्म है.
Schal / scarf,scarf,Der Schal ist rot.,The scarf is red.,दुपट्टा,दुपट्टा लाल है.
Handschuhe,gloves,Die Handschuhe sind warm.,The gloves are warm.,दस्ताने,दस्ताने गर्म हैं.
Frühling,spring,Der Frühling ist schön.,Spring is beautiful.,वसंत,वसंत सुन्दर है.
Sommer,summer,Der Sommer ist heiß.,Summer is hot.,गर्मी,बहुत गर्मी है।
Herbst,autumn,Der Herbst ist bunt.,Autumn is colorful.,शरद ऋतु,शरद ऋतु रंगीन है.
Winter,winter,Der Winter ist kalt.,Winter is cold.,सर्दी,सर्दी ठंडी है.
Rot,red,Das Auto ist rot.,The car is red.,लाल,कार लाल है.
Blau,blue,Das Hemd ist blau.,The shirt is blue.,नीला,शर्ट नीली है.
Grün,green,Das Gras ist grün.,The grass is green.,हरा,घास हरी है.
Gelb,yellow,Die Blume ist gelb.,The flower is yellow.,पीला,फूल पीला है.
Schwarz,black,Die Hose ist schwarz.,The pants are black.,काला,पैंट काला है.
Weiß,white,Die Wand ist weiß.,The wall is white.,सफ़ेद,दीवार सफेद है.
Braun,brown,Das Pferd ist braun.,The horse is brown.,भूरा,घोड़ा भूरे रंग का है.
Pink,pink,Das Kleid ist pink.,The dress is pink.,गुलाबी,पोशाक गुलाबी है.
Orange,orange,Die Jacke ist orange.,The jacket is orange.,नारंगी,जैकेट नारंगी है.
Lila / Purple,purple,Das Tuch ist lila.,The scarf is purple.,बैंगनी,दुपट्टा बैंगनी है.
Grau / gray,gray,Das Auto ist grau.,The car is gray.,स्लेटी,कार भूरे रंग की है.
Beige,beige,Der Mantel ist beige.,The coat is beige.,बेज,कोट बेज रंग का है.
Türkis,turquoise,Das Tuch ist türkis.,The scarf is turquoise.,फ़िरोज़ा,दुपट्टा फ़िरोज़ा है.
Gold,gold,Die Uhr ist aus Gold.,The watch is made of gold.,सोना,घड़ी सोने से बनी है.
Silber,silver,Der Ring ist aus Silber.,The ring is made of silver.,चाँदी,अंगूठी चांदी की बनी है.
Essen,food,Das Essen ist lecker.,The food is tasty.,खाना,खाना स्वादिष्ट है.
Getränk,drink,Das Getränk ist kalt.,The drink is cold.,पीना,पेय ठंडा है.
Frühstück,breakfast,Ich esse Frühstück.,I eat breakfast.,नाश्ता,मैंनें नाश्ता कर लिया।
Mittagessen,lunch,Ich esse Mittagessen.,I eat lunch.,दिन का खाना,मैं दोपहर का भोजन खाता हूं।
Abendessen,dinner,Ich esse Abendessen.,I eat dinner.,रात का खाना,मैं रात का भोजन करता हूं।
Brot / bread,bread,Das Brot ist frisch.,The bread is fresh.,रोटी,रोटी ताज़ा है.
Fleisch / meat,meat,Das Fleisch ist rot.,The meat is red.,मांस,मांस लाल है.
Apfel / apple,apple,Der Apfel ist süß.,The apple is sweet.,सेब,सेब मीठा है.
Milch / milk,milk,Ich trinke Milch.,I drink milk.,दूध,मुझे दूध पीना पसंद है।
Kaffee / coffee,coffee,Ich trinke Kaffee.,I drink coffee.,कॉफी,मुझे कॉफी पीना है।
Tee / tea,tea,Ich trinke Tee.,I drink tea.,चाय,में चाय पीता हूँ।
Saft / juice,juice,Der Saft ist frisch.,The juice is fresh.,रस,जूस ताज़ा है.
Reis / rice,rice,Der Reis ist gekocht.,The rice is cooked.,चावल,चावल पक गया है.
Nudeln,noodles,Die Nudeln sind lecker.,The noodles are tasty.,नूडल्स,नूडल्स स्वादिष्ट हैं.
Salat / salad,salad,Der Salat ist frisch.,The salad is fresh.,सलाद,सलाद ताज़ा है.
Großvater,grandfather,Mein Großvater ist alt.,My grandfather is old.,दादा,मेरे दादाजी बूढ़े हैं.
Großmutter,grandmother,Meine Großmutter ist nett.,My grandmother is nice.,दादी,मेरी दादी अच्छी हैं.
Kinder,children,Die Kinder spielen.,The children are playing.,बच्चे,बच्चे खेल रहे हैं.
Ehefrau,wife,Meine Ehefrau kocht.,My wife is cooking.,पत्नी,मेरी पत्नी खाना बना रही है.
Partner,partner,Mein Partner ist nett.,My partner is nice.,साथी,मेरा पार्टनर अच्छा है.
Freund,boyfriend,Mein Freund ist hier.,My boyfriend is here.,दोस्त,मेरा बॉयफ्रेंड यहाँ है.
Freundin,girlfriend,Meine Freundin ist schön.,My girlfriend is beautiful.,दोस्त,मेरी गर्लफ्रेंड खूबसूरत है.
Ehe / marriage,marriage,Die Ehe ist glücklich.,The marriage is happy.,शादी,शादी खुशहाल है.
Scheidung,divorce,Die Scheidung ist schwierig.,The divorce is difficult.,तलाक,तलाक कठिन है.
Onkel / uncle,uncle,Mein Onkel wohnt hier.,My uncle lives here.,चाचा,मेरे चाचा यहीं रहते हैं.
Tante / aunt,aunt,Meine Tante kommt.,My aunt is coming.,चाची,मेरी मौसी आ रही है.
Neffe / nephew,nephew,Mein Neffe spielt draußen.,My nephew plays outside.,भतीजा,मेरा भतीजा बाहर खेलता है.
Nichte / niece,niece,Meine Nichte lacht.,My niece laughs.,भतीजी,मेरी भतीजी हंसती है.
sonnig / sunny,sunny,Heute ist es sonnig.,Today it is sunny.,धूप वाला,आज धूप है.
regnerisch,rainy,Es ist regnerisch.,It is rainy.,बरसाती,यहा बरसात है।
bewölkt,cloudy,Der Himmel ist bewölkt.,The sky is cloudy.,बादलों से घिरा,आसमान में बादल छाए हुए हैं.
verschneit,snowy,Es ist verschneit.,It is snowy.,हिमाच्छन्न,यह बर्फ है।
windig / windy,windy,Heute ist es windig.,Today it is windy.,तूफ़ानी,आज बहुत हवा चल रही है.
neblig / foggy,foggy,Es ist neblig draußen.,It is foggy outside.,कोहरे वाला,बाहर कोहरा है.
links / left,left,Gehe nach links.,Go left.,बाएं,जाना छोड़ दिया।
rechts / right,right,Gehe nach rechts.,Go right.,सही,सही जाना।
geradeaus,straight,Gehe geradeaus.,Go straight.,सीधा,सीधे जाओ.
hinter,behind,Das Auto ist hinter dem Haus.,The car is behind the house.,पीछे,कार घर के पीछे है.
Norden,north,Der Norden ist kalt.,The north is cold.,उत्तर,उत्तर ठंडा है.
Süden,south,Der Süden ist warm.,The south is warm.,दक्षिण,दक्षिण गर्म है.
Osten,east,Der Osten ist schön.,The east is beautiful.,पूर्व,पूर्व सुंदर है.
Westen,west,Der Westen ist ruhig.,The west is calm.,पश्चिम,पश्चिम शांत है.
Kopf / head,head,Mein Kopf tut weh.,My head hurts.,सिर,मेरे सिर में दर्द होता है।
Auge / eye,eye,Mein Auge ist rot.,My eye is red.,आँख,मेरी आंख लाल है.
Ohr / ear,ear,Mein Ohr tut weh.,My ear hurts.,कान,मेरे कान में दर्द है.
Nase / nose,nose,Meine Nase ist klein.,My nose is small.,नाक,मेरी नाक छोटी है.
Mund / mouth,mouth,Mein Mund ist trocken.,My mouth is dry.,मुँह,मेरा मुँह सूख गया है.
Hand / hand,hand,Meine Hand ist kalt.,My hand is cold.,हाथ,मेरा हाथ ठंडा है.
Arm / arm,arm,Mein Arm ist lang.,My arm is long.,हाथ,मेरा हाथ लम्बा है.
Bein / leg,leg,Mein Bein ist müde.,My leg is tired.,टांग,मेरा पैर थक गया है.
Fuß / foot,foot,Mein Fuß tut weh.,My foot hurts.,पैर,मेरे पैर दर्द में होता है।
Finger / finger,finger,Mein Finger ist verletzt.,My finger is injured.,उँगलिया,मेरी उंगली घायल हो गई है.
Gutschein,voucher / coupon,Ich habe einen Gutschein bekommen.,I received a voucher.,वाउचर/कूपन,मुझे एक वाउचर मिला.
Vergiftung,poisoning,Die Vergiftung ist gefährlich.,The poisoning is dangerous.,जहर,जहर खतरनाक है.
Verbrennung,burn,Die Verbrennung tut weh.,The burn hurts.,जलाना,जलने से दर्द होता है.
Waschraum,washroom,Der Waschraum ist sauber.,The washroom is clean.,टट्टी,शौचालय साफ़ है.
Angebot,offer / deal,Das Angebot ist günstig.,The offer is cheap.,प्रस्ताव/सौदा,ऑफर सस्ता है.
schlecht,bad,Das ist schlecht.,That is bad.,खराब,वह बुरा है.
neu,new,Das Auto ist neu.,The car is new.,नया,कार नई है.
alt,old,Das Buch ist alt.,The book is old.,पुराना,किताब पुरानी है.
schön,beautiful,Die Blume ist schön.,The flower is beautiful.,सुंदर,फूल सुंदर है.
hässlich,ugly,Das Bild ist hässlich.,The picture is ugly.,कुरूप,तस्वीर बदसूरत है.
glücklich,happy,Ich bin glücklich.,I am happy.,खुश,मैं खुश हूँ।
traurig,sad,Er ist traurig.,He is sad.,दुखद,वह दुखी है.
schnell,fast,Das Auto ist schnell.,The car is fast.,तेज़,कार तेज़ है.
langsam,slow,Die Schnecke ist langsam.,The snail is slow.,धीमा,घोंघा धीमा है.
warm,warm,Es ist warm heute.,It is warm today.,गरम,आज गर्मी है।
kalt,cold,Das Wasser ist kalt.,The water is cold.,ठंडा,पानी ठंडा है.
leise,quiet,Sei bitte leise.,Please be quiet.,शांत,कृपया शांत रहें।
laut,loud,Die Musik ist laut.,The music is loud.,ऊँचा स्वर,संगीत तेज़ है.
jung,young,Das Kind ist jung.,The child is young.,युवा,बच्चा छोटा है.
reich,rich,Er ist reich.,He is rich.,अमीर,वह अमीर है.
arm,poor,Sie ist arm.,She is poor.,गरीब,वह गरीब है.
billig,cheap,Das T-Shirt ist billig.,The T-shirt is cheap.,सस्ता,टी-शर्ट सस्ती है.
teuer,expensive,Das Handy ist teuer.,The phone is expensive.,महँगा,फ़ोन महँगा है.
kurz,short,Der Weg ist kurz.,The way is short.,छोटा,रास्ता छोटा है.
lang,long,Der Film ist lang.,The movie is long.,लंबा,फिल्म लंबी है.
breit,wide,Die Straße ist breit.,The street is wide.,चौड़ा,सड़क चौड़ी है.
eng,narrow,Die Gasse ist eng.,The alley is narrow.,सँकरा,गली संकरी है.
hoch,high/tall,Der Turm ist hoch.,The tower is tall.,उंचा लंबा,टावर ऊंचा है.
tief,deep,Das Wasser ist tief.,The water is deep.,गहरा,पानी गहरा है.
hell,bright,Das Zimmer ist hell.,The room is bright.,चमकदार,कमरा उजियाला है.
dunkel,dark,Der Keller ist dunkel.,The basement is dark.,अँधेरा,तहखाने में अंधेरा है.
nass,wet,Mein Haar ist nass.,My hair is wet.,गीला,मेरे बाल गीले है।
trocken,dry,Das Handtuch ist trocken.,The towel is dry.,सूखा,तौलिया सूखा है.
sauber,clean,Die Küche ist sauber.,The kitchen is clean.,साफ,रसोई साफ़ है.
schmutzig,dirty,Die Schuhe sind schmutzig.,The shoes are dirty.,गंदा,जूते गंदे हैं.
leer,empty,Die Flasche ist leer.,The bottle is empty.,खाली,बोतल खाली है.
voll,full,Der Korb ist voll.,The basket is full.,भरा हुआ,टोकरी भरी हुई है.
offen,open,Die Tür ist offen.,The door is open.,खुला,दरवाज़ा खुला है.
geschlossen,closed,Das Geschäft ist geschlossen.,The store is closed.,बंद किया हुआ,स्टोर बंद हो चुका है।
leicht,easy/light,Die Tasche ist leicht.,The bag is light.,आसान/हल्का,बैग हल्का है.
wichtig,important,Das ist wichtig.,That is important.,महत्वपूर्ण,यह महत्वपूर्ण है.
interessant,interesting,Das Buch ist interessant.,The book is interesting.,दिलचस्प,किताब दिलचस्प है.
langweilig,boring,Der Film ist langweilig.,The movie is boring.,उबाऊ,फिल्म उबाऊ है.
richtig,correct/right,Das ist richtig.,That is correct.,सही/सही,यह सही है।
falsch,wrong/false,Das ist falsch.,That is wrong.,ग़लत/झूठा,यह गलत है.
wahr,TRUE,Die Geschichte ist wahr.,The story is true.,सत्य,कहानी सच्ची है.
echt,real/genuine,Ist das echt?,Is that real?,असली/असली,क्या यह असली है?
gesund,healthy,Obst ist gesund.,Fruit is healthy.,स्वस्थ,फल स्वास्थ्यवर्धक है.
wach,awake,Ich bin wach.,I am awake.,जागना,मै जाग रहा हूँ।
durstig,thirsty,Ich bin durstig.,I am thirsty.,प्यासा,मुझे प्यास लगी है।
satt,full (eaten),Ich bin satt.,I am full.,पूरा (खाया हुआ),मेरा पेट भरा है।
dick,fat/thick,Die Katze ist dick.,The cat is fat.,मोटा/मोटा,बिल्ली मोटी है.
dünn,thin/skinny,Sie ist dünn.,She is thin.,पतला/पतला,वह पतली है.
stark,strong,Er ist stark.,He is strong.,मज़बूत,वह मजबूत है।
schwach,weak,Ich bin schwach.,I am weak.,कमज़ोर,मैं कमजोर हूं।
klein,small,Ein kleiner Hund.,A small dog.,छोटा,एक छोटा कुत्ता.
freundlich,friendly,Sie ist freundlich.,She is friendly.,दोस्ताना,वह मिलनसार है.
nett,nice,Er ist nett.,He is nice.,अच्छा,वह अच्छा है.
gemein,mean,Das war gemein.,That was mean.,अर्थ,वह औसत था।
lecker,delicious,Der Kuchen ist lecker.,The cake is delicious.,स्वादिष्ट,केक स्वादिष्ट है.
eklig,disgusting,Dieses Essen ist eklig.,This food is disgusting.,घिनौना,यह खाना घृणित है.
beschäftigt,busy,Sie ist jetzt beschäftigt.,She is busy now.,व्यस्त,वह अभी व्यस्त है.
frei,free / available,Das Zimmer ist frei.,The room is free.,मुफ़्त/उपलब्ध,कमरा मुफ़्त है.
unwichtig,unimportant,Das ist unwichtig.,That is unimportant.,महत्वहीन,वह महत्वहीन है.
bereit,ready,Ich bin bereit.,I am ready.,तैयार,मैं तैयार हूँ।
fertig,finished / done,Die Arbeit ist fertig.,The work is finished.,समाप्त / हो गया,काम ख़त्म हो गया.
ruhig,calm,Er ist ruhig.,He is calm.,शांत,वह शांत है।
nervös,nervous,Sie ist nervös.,She is nervous.,घबराया हुआ,वह घबराई हुई है.
klug,clever / smart,Der Junge ist klug.,The boy is clever.,चतुर/चतुर,लड़का होशियार है.
dumm,stupid / dumb,Das war eine dumme Idee.,That was a stupid idea.,मूर्ख/मूर्ख,वह एक मूर्खतापूर्ण विचार था.
weich,soft,Das Kissen ist weich.,The pillow is soft.,कोमल,तकिया मुलायम है.
hart,hard,Der Tisch ist hart.,The table is hard.,मुश्किल,मेज कठिन है.
sicher,safe / certain,Der Ort ist sicher.,The place is safe.,सुरक्षित/निश्चित,जगह सुरक्षित है.
gefährlich,dangerous,Diese Straße ist gefährlich.,That road is dangerous.,खतरनाक,वह सड़क खतरनाक है.
schwer,heavy / difficult,Die Kiste ist schwer.,The box is heavy.,भारी / कठिन,बक्सा भारी है.
spät,late,Ich bin spät.,I am late.,देर,मैं देरी से हूँ।
früh,early,Ich stehe früh auf.,I wake up early.,जल्दी,मैं जल्दी उठता हूँ।
heiß,hot,Der Kaffee ist heiß.,The coffee is hot.,गर्म,कॉफ़ी गरम है.
kühl,cool / chilly,Das Zimmer ist kühl.,The room is cool.,ठंडा/ठंडा,कमरा मस्त है.
lustig,funny / amusing,Der Film ist lustig.,The movie is funny.,मज़ेदार/मनोरंजक,फिल्म मजेदार है.
ernst,serious,Er sieht ernst aus.,He looks serious.,गंभीर,वह गंभीर लग रहा है.
froh,happy,Sie ist heute froh.,She is happy today.,खुश,वह आज खुश है.
höflich,polite,Sie ist höflich.,She is polite.,विनम्र,वह विनम्र है.
unhöflich,impolite / rude,Der Kunde war unhöflich.,The customer was rude.,असभ्य/अशिष्ट,ग्राहक असभ्य था.
kreativ,creative,Sie ist kreativ.,She is creative.,रचनात्मक,वह रचनात्मक है।
faul,lazy,Er ist heute faul.,He is lazy today.,आलसी,वह आज आलसी है.
fleißig,hardworking,Sie ist fleißig.,She is hardworking.,मेहनती,वो बहुत मेहनती है।
zuverlässig,reliable,Er ist zuverlässig.,He is reliable.,भरोसेमंद,वह विश्वसनीय है.
lustlos,unmotivated,Ich fühle mich lustlos.,I feel unmotivated.,प्रेरणाहीन,मैं प्रेरितहीन महसूस करता हूँ।
witzig,funny / witty,Der Film ist witzig.,The movie is funny.,मजाकिया/मजाकिया,फिल्म मजेदार है.
modern,modern,Dieses Gebäude ist modern.,This building is modern.,आधुनिक,यह इमारत आधुनिक है.
mild,mild,Die Suppe ist mild.,The soup is mild.,हल्का,सूप हल्का है.
hier,here,Komm hierher!,Come here!,यहाँ,यहाँ आओ!
dort,there,Das Buch liegt dort.,The book is there.,वहाँ,किताब वहाँ है.
3,later,Wir sehen uns später.,We will see each other later.,बाद में,हम एक दूसरे से बाद में मिलेंगे.
heute,today,Heute ist Montag.,Today is Monday.,आज,आज सोमवार हे।
morgen,tomorrow,Morgen gehe ich einkaufen.,Tomorrow I will go shopping.,कल,कल मैं खरीदारी करने जाऊंगा.
gestern,yesterday,Gestern war es kalt.,Yesterday it was cold.,कल,कल ठंड थी.
oft,often,Ich gehe oft spazieren.,I go for walks often.,अक्सर,मैं अक्सर घूमने जाता हूं.
immer,always,Ich bin immer müde.,I am always tired.,हमेशा,मैं हमेशा थका हुआ रहता हूं.
nie,never,Ich trinke nie Kaffee.,I never drink coffee.,कभी नहीं,मैं कभी कॉफी नहीं पीता।
sehr,very,Das Buch ist sehr gut.,The book is very good.,बहुत,किताब बहुत अच्छी है.
nicht,not,Ich verstehe das nicht.,I do not understand that.,नहीं,मुझे यह समझ में नहीं आता।
gut,good,Das Essen schmeckt gut.,The food tastes good.,अच्छा,भोजन का स्वाद अच्छा है.
bald,soon,Ich komme bald.,I will come soon.,जल्द ही,मेरा जल्दी आना होगा।
schon,already,Ich habe das schon gesehen.,I have already seen that.,पहले से,वह मैं पहले ही देख चुका हूं.
noch,still/yet,Ich bin noch hier.,I am still here.,अभी भी/अभी तक,मैं अभी भी यहाँ हुँ।
erst,only/just,Ich bin erst angekommen.,I have just arrived.,केवल बस,मैं अभी आया हूं.
wieder,again,Ich komme wieder.,I will come again.,दोबारा,मैं फिर आ जाऊँगा।
weg,away,Er ist weg.,He is away.,दूर,वह दूर है.
dabei,with it / present,Ich bin dabei.,I am joining in.,इसके साथ / वर्तमान,मैं इसमें शामिल हो रहा हूं.
drinnen,inside,Es ist warm drinnen.,It is warm inside.,अंदर,यह अंदर से गर्म है.
draußen,outside,Wir spielen draußen.,We are playing outside.,बाहर,हम बाहर खेल रहे हैं.
oben,above / up,Das Buch liegt oben.,The book is upstairs.,ऊपर/ऊपर,किताब ऊपर है.
unten,below / down,Die Katze ist unten.,The cat is downstairs.,नीचे/नीचे,बिल्ली नीचे है.
links,left,Gehe nach links.,Go to the left.,बाएं,बाईं ओर जाएं.
rechts,right,Biege rechts ab.,Turn right.,सही,दांए मुड़िए।
geradeaus,straight,Gehe geradeaus.,Go straight ahead.,सीधा,आगे सीधे बढ़ो।
vorne,in front,Das Auto ist vorne.,The car is in front.,सामने,कार सामने है.
hinten,in back / behind,Die Tasche ist hinten.,The bag is in the back.,पीछे/पीछे,बैग पीछे है.
nirgends,nowhere,Ich finde es nirgends.,I can’t find it anywhere.,कहीं नहीं,मेरे द्वारा इसे कहीं भी ढूंढा जा सकता है।
manchmal,sometimes,Ich gehe manchmal schwimmen.,I sometimes go swimming.,कभी-कभी,मैं कभी-कभी तैराकी करने जाता हूं।
selten,rarely,Ich esse selten Fleisch.,I rarely eat meat.,कभी-कभार,मैं मांस कम ही खाता हूं.
meistens,mostly,Ich esse meistens Obst.,I mostly eat fruit.,ज्यादातर,मैं ज्यादातर फल खाता हूं.
kaum,hardly / barely,Ich habe kaum Zeit.,I hardly have time.,मुश्किल से / बमुश्किल,मेरे पास मुश्किल से ही समय होता है.
ganz,completely / quite,Das ist ganz einfach.,That is quite simple.,पूरी तरह से/काफी,यह काफी सरल है.
ziemlich,fairly / quite,Das ist ziemlich teuer.,That is fairly expensive.,निष्पक्ष/बिल्कुल,वह काफी महंगा है.
wirklich,really,Das ist wirklich gut.,That is really good.,वास्तव में,वह वास्तव में अच्छा है।
genug,enough,Ich habe genug Geld.,I have enough money.,पर्याप्त,मेरे पास पर्याप्त पैसा है.
zu,too / to,Es ist zu heiß.,It is too hot.,भी/को,यह बहुत गरम है.
fast,almost,Ich bin fast fertig.,I am almost done.,लगभग,मेरा लगभग हो गया है।
leider,unfortunately,Leider kann ich nicht kommen.,"Unfortunately, I cannot come.",दुर्भाग्य से,"दुर्भाग्य से, मैं नहीं आ सकता."
vielleicht,maybe / perhaps,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.,शायद हो सकता है,शायद कल बारिश होगी.
sicher,sure / safe,Bist du sicher?,Are you sure?,निश्चित/सुरक्षित,क्या आपको यकीन है?
natürlich,of course / naturally,Natürlich helfe ich dir.,Of course I will help you.,अवश्य/स्वाभाविक रूप से,बेशक मैं आपकी मदद करूंगा.
auch,also / too,Ich komme auch.,I am coming too.,भी भी,मैं भी आ रहा हूँ।
nur,only / just,Ich habe nur einen Apfel.,I only have one apple.,केवल बस,मेरे पास केवल एक सेब है.
sogar,even,Er hat sogar gelacht.,He even laughed.,यहां तक ​​की,वह हँसे भी।
sowieso,anyway,Ich mache es sowieso.,I will do it anyway.,फिर भी,मैं इसे वैसे भी करूंगा.
danach,after that,Danach gehen wir essen.,After that we will go eat.,इसके बाद,उसके बाद हम खाना खाने चलेंगे.
davor,before that,Ich war davor dort.,I was there before that.,इससे पहले,मैं उससे पहले वहां था.
deshalb,therefore,"Ich bin müde, deshalb gehe ich schlafen.","I am tired, therefore I am going to sleep.",इसलिए,मैं थक गया हूँ इसलिए सोने जा रहा हूँ.
trotz,despite,Trotz des Regens gehen wir spazieren.,"Despite the rain, we are going for a walk.",इसके बावजूद,बारिश के बावजूद हम घूमने जा रहे हैं.
eigentlich,actually,Eigentlich mag ich Pizza.,"Actually, I like pizza.",वास्तव में,"दरअसल, मुझे पिज़्ज़ा पसंद है."
besonders,especially,Ich mag Schokolade besonders.,I especially like chocolate.,विशेष रूप से,मुझे खासतौर पर चॉकलेट पसंद है.
gern,gladly,Ich spiele gern Fußball.,I like to play soccer.,ख़ुशी से,मैं फुटबॉल खेलना पसंद करता हुँ।
zusammen,together,Wir arbeiten zusammen.,We work together.,एक साथ,हम एक साथ कार्य करते हैं।
ebenfalls,likewise / also,Ich bin ebenfalls müde.,I am also tired.,इसी तरह / भी,मैं भी थक गया हूँ.
vorher,before,Ich esse vorher etwas.,I eat something before.,पहले,मैं पहले कुछ खाता हूं.
nachher,afterwards,Wir gehen nachher ins Kino.,We are going to the cinema afterwards.,उसके बाद,हम बाद में सिनेमा देखने जा रहे हैं।
zunächst,at first / initially,Zunächst lernen wir Deutsch.,"At first, we learn German.",प्रथमतः/शुरुआत में,"सबसे पहले, हम जर्मन सीखते हैं।"
inzwischen,meanwhile / by now,Inzwischen ist er zu Hause.,"Meanwhile, he is at home.",इस बीच / अब तक,इस बीच वह घर पर हैं.
übrigens,by the way,"Übrigens, ich komme morgen.","By the way, I am coming tomorrow.",वैसे,वैसे मैं कल आ रहा हूँ.
plötzlich,suddenly,Plötzlich begann es zu regnen.,Suddenly it started to rain.,अचानक,अचानक बारिश होने लगी.
erneut,again / once more,Ich versuche es erneut.,I will try it again.,पुनः/एक बार और,मैं इसे दोबारा आज़माऊंगा.
normalerweise,normally,Normalerweise gehe ich um 7 Uhr.,"Normally, I go at 7 o’clock.",सामान्यतः,आम तौर पर मैं 7 बजे जाता हूं.
zumindest,at least,Ich habe zumindest etwas gelernt.,I learned at least something.,कम से कम,मैंने कम से कम कुछ तो सीखा.
absolut,absolutely,Das ist absolut richtig.,That is absolutely correct.,बिल्कुल,यह बिल्कुल सही है.
genauso,just like / exactly,Ich denke genauso.,I think exactly the same.,बिलकुल वैसे ही / बिल्कुल,मैं बिल्कुल वैसा ही सोचता हूं.
anders,different / otherwise,Heute ist alles anders.,Today everything is different.,भिन्न/अन्यथा,आज सब कुछ अलग है.
zusätzlich,additionally,Zusätzlich kaufe ich Brot.,"Additionally, I am buying bread.",इसके अतिरिक्त,"इसके अतिरिक्त, मैं ब्रेड भी खरीद रहा हूं।"
bloß,only / just,Ich wollte bloß helfen.,I just wanted to help.,केवल बस,मैं बस मदद करना चाहता था.
jeweils,each / respectively,Wir treffen uns jeweils am Montag.,We meet each Monday.,प्रत्येक / क्रमशः,हम प्रत्येक सोमवार को मिलते हैं।
nochmals,once again,Ich danke dir nochmals.,I thank you once again.,फिर एक बार,मैं एक बार फिर आपको धन्यवाद देता हूं.
überhaupt,at all,Ich verstehe das überhaupt nicht.,I don’t understand that at all.,बिल्कुल भी,मैं इसे बिल्कुल नहीं समझता।
ohnehin,anyway / in any case,Ich mache es ohnehin.,I am doing it anyway.,वैसे भी / किसी भी मामले में,मैं वैसे भी यह कर रहा हूँ.
ursprünglich,originally,Ursprünglich kam er aus Berlin.,"Originally, he came from Berlin.",मौलिक रूप से,वह मूलतः बर्लिन से आये थे।
äußerst,extremely,Das ist äußerst wichtig.,That is extremely important.,अत्यंत,यह अत्यंत महत्वपूर्ण है.
hauptsächlich,mainly / primarily,Ich arbeite hauptsächlich am Computer.,I mainly work on the computer.,मुख्य रूप से / मुख्य रूप से,मैं मुख्यतः कंप्यूटर पर काम करता हूँ।
vermutlich,probably,Vermutlich kommt er später.,He will probably come later.,शायद,वह शायद बाद में आएगा.
deutlich,clear / distinct,Das ist deutlich sichtbar.,That is clearly visible.,स्पष्ट/विशिष्ट,वह तो साफ़ दिख रहा है.
freiwillig,voluntary,Er arbeitet freiwillig hier.,He works here voluntarily.,स्वैच्छिक,वह यहां स्वेच्छा से काम करता है।
vorhersehbar,predictable,Das Ergebnis war vorhersehbar.,The result was predictable.,उम्मीद के मुताबिक,परिणाम पूर्वानुमानित था.
regelmäßig,regularly,Ich gehe regelmäßig joggen.,I go jogging regularly.,नियमित रूप से,मैं नियमित रूप से जॉगिंग करने जाता हूं।
umsonst,for free / in vain,Ich habe es umsonst versucht.,I tried it in vain.,मुफ़्त में/व्यर्थ में,मैंने इसे व्यर्थ आज़माया।
echt,really / genuine,Das ist echt interessant.,That is really interesting.,वास्तव में / वास्तविक,यह वाकई दिलचस्प है.
früher,earlier / formerly,Früher wohnte ich in Berlin.,I used to live in Berlin.,पहले/पूर्व में,मैं बर्लिन में रहता था.
daher,therefore / hence,"Es regnet, daher bleibe ich zu Hause.","It is raining; therefore, I stay at home.",इसलिए/इसलिए,"बरस गया बादल का पानी;इसलिए, मैं घर पर ही रहता हूं।"
deswegen,therefore / that's why,"Ich bin krank, deswegen bleibe ich im Bett.","I am sick, that's why I stay in bed.",इसलिये / इसलिये,"मैं बीमार हूं, इसलिए बिस्तर पर ही रहता हूं."
