Haus,house,Das ist mein Haus.,That is my house.
geradeaus,straight,Gehe geradeaus.,Go straight ahead.
vorne,in front,Das Auto ist vorne.,The car is in front.
hinten,in back / behind,Die Tasche ist hinten.,The bag is in the back.
nirgends,nowhere,Ich finde es nirgends.,I can’t find it anywhere.
manchmal,sometimes,Ich gehe manchmal schwimmen.,I sometimes go swimming.
selten,rarely,Ich esse selten Fleisch.,I rarely eat meat.
meistens,mostly,Ich esse meistens Obst.,I mostly eat fruit.
kaum,hardly / barely,Ich habe kaum Zeit.,I hardly have time.
ganz,completely / quite,Das ist ganz einfach.,That is quite simple.
ziemlich,fairly / quite,Das ist ziemlich teuer.,That is fairly expensive.
wirklich,really,Das ist wirklich gut.,That is really good.
genug,enough,Ich habe genug Geld.,I have enough money.
zu,too / to,Es ist zu heiß.,It is too hot.
fast,almost,Ich bin fast fertig.,I am almost done.
leider,unfortunately,Leider kann ich nicht kommen.,"Unfortunately, I cannot come."
vielleicht,maybe / perhaps,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.
sicher,sure / safe,Bist du sicher?,Are you sure?
natürlich,of course / naturally,Natürlich helfe ich dir.,Of course I will help you.
auch,also / too,Ich komme auch.,I am coming too.
nur,only / just,Ich habe nur einen Apfel.,I only have one apple.
sogar,even,Er hat sogar gelacht.,He even laughed.
sowieso,anyway,Ich mache es sowieso.,I will do it anyway.
danach,after that,Danach gehen wir essen.,After that we will go eat.
davor,before that,Ich war davor dort.,I was there before that.
deshalb,therefore,"Ich bin müde, deshalb gehe ich schlafen.","I am tired, therefore I am going to sleep."
trotz,despite,Trotz des Regens gehen wir spazieren.,"Despite the rain, we are going for a walk."
eigentlich,actually,Eigentlich mag ich Pizza.,"Actually, I like pizza."
besonders,especially ,Ich mag Schokolade besonders.,I especially like chocolate.
gern,gladly ,Ich spiele gern Fußball.,I like to play soccer.
zusammen,together,Wir arbeiten zusammen.,We work together.
ebenfalls,likewise / also,Ich bin ebenfalls müde.,I am also tired.
vorher,before,Ich esse vorher etwas.,I eat something before.
nachher,afterwards,Wir gehen nachher ins Kino.,We are going to the cinema afterwards.
zunächst,at first / initially,Zunächst lernen wir Deutsch.,"At first, we learn German."
inzwischen,meanwhile / by now,Inzwischen ist er zu Hause.,"Meanwhile, he is at home."
übrigens,by the way,"Übrigens, ich komme morgen.","By the way, I am coming tomorrow."
plötzlich,suddenly,Plötzlich begann es zu regnen.,Suddenly it started to rain.
erneut,again / once more,Ich versuche es erneut.,I will try it again.
normalerweise,normally,Normalerweise gehe ich um 7 Uhr.,"Normally, I go at 7 o’clock."
zumindest,at least,Ich habe zumindest etwas gelernt.,I learned at least something.
absolut,absolutely,Das ist absolut richtig.,That is absolutely correct.
genauso,just like / exactly,Ich denke genauso.,I think exactly the same.
anders,different / otherwise,Heute ist alles anders.,Today everything is different.
zusätzlich,additionally,Zusätzlich kaufe ich Brot.,"Additionally, I am buying bread."
bloß,only / just,Ich wollte bloß helfen.,I just wanted to help.
jeweils,each / respectively,Wir treffen uns jeweils am Montag.,We meet each Monday.
nochmals,once again,Ich danke dir nochmals.,I thank you once again.
überhaupt,at all,Ich verstehe das überhaupt nicht.,I don’t understand that at all.
ohnehin,anyway / in any case,Ich mache es ohnehin.,I am doing it anyway.
ursprünglich,originally,Ursprünglich kam er aus Berlin.,"Originally, he came from Berlin."
äußerst,extremely,Das ist äußerst wichtig.,That is extremely important.
hauptsächlich,mainly / primarily,Ich arbeite hauptsächlich am Computer.,I mainly work on the computer.
vermutlich,probably,Vermutlich kommt er später.,He will probably come later.
deutlich,clear / distinct,Das ist deutlich sichtbar.,That is clearly visible.
freiwillig,voluntary,Er arbeitet freiwillig hier.,He works here voluntarily.
vorhersehbar,predictable,Das Ergebnis war vorhersehbar.,The result was predictable.
regelmäßig,regularly,Ich gehe regelmäßig joggen.,I go jogging regularly.
umsonst,for free / in vain,Ich habe es umsonst versucht.,I tried it in vain.
echt,really / genuine,Das ist echt interessant.,That is really interesting.
früher,earlier / formerly,Früher wohnte ich in Berlin.,I used to live in Berlin.
daher,therefore / hence,"Es regnet, daher bleibe ich zu Hause.","It is raining; therefore, I stay at home."
deswegen,therefore / that's why,"Ich bin krank, deswegen bleibe ich im Bett.","I am sick, that's why I stay in bed."
niemals,never,Ich werde das niemals tun.,I will never do that.
beinahe,almost / nearly,Ich habe es beinahe vergessen.,I almost forgot it.
komplett,complete / entirely,Das Projekt ist komplett fertig.,The project is completely finished.
extra,extra / special,Ich kaufe extra Kuchen.,I am buying cake especially.
sofort,immediately,Ich komme sofort.,I am coming immediately.
gleichzeitig,simultaneously,Wir arbeiten gleichzeitig.,We are working simultaneously.
ebenso,likewise / as well,Ich denke ebenso.,I think the same way.
irgendwo,somewhere,Ich habe es irgendwo gesehen.,I saw it somewhere.
nirgendwo,nowhere,Ich finde es nirgendwo.,I can’t find it anywhere.
längst,long ago / already,Er ist längst gegangen.,He left long ago.
zuletzt,last / finally,Zuletzt haben wir Pizza gegessen.,"Finally, we ate pizza."
getrennt,separated,Wir schlafen getrennt.,We sleep separately.
täglich,daily,Ich trainiere täglich.,I train daily.
wöchentlich,weekly,Wir treffen uns wöchentlich.,We meet weekly.
monatlich,monthly,Die Rechnung kommt monatlich.,The bill comes monthly.
jährlich,yearly / annually,Wir machen das jährlich.,We do this annually.
dort drüben,over there,Das Haus ist dort drüben.,The house is over there.
da vorne,at the front,Die Klasse ist da vorne.,The class is at the front.
da hinten,at the back,Die Tasche ist da hinten.,The bag is at the back.
unterwegs,on the way,Ich bin unterwegs.,I am on the way.
vorbei,past / over,Wir sind am Park vorbei gegangen.,We walked past the park.
bisher,so far / until now,Bisher lief alles gut.,"So far, everything went well."
irgendwohin,to somewhere,Ich gehe irgendwohin.,I am going somewhere.
nirgendwohin,to nowhere,Wir fahren nirgendwohin.,We are going nowhere.
weiterhin,furthermore / still,Wir arbeiten weiterhin.,We continue to work.
gleich,immediately,Ich komme gleich.,I will come immediately.
irgendwie,somehow,Ich schaffe es irgendwie.,I will manage it somehow.
offenbar,obviously,Offenbar hat er Recht.,"Obviously, he is right."
tagsüber,during the day,Tagsüber arbeite ich.,I work during the day.
nachts,at night,Nachts schlafe ich.,I sleep at night.
grundsätzlich,basically ,Grundsätzlich stimme ich zu.,"Basically, I agree."
akzeptieren,to accept,Ich akzeptiere das Angebot.,I accept the offer.
zustimmen,to agree,Ich stimme dir zu.,I agree with you.
analysieren,to analyze,Der Arzt analysiert die Ergebnisse.,The doctor analyzes the results.
entschuldigen,to apologize,Ich entschuldige mich für den Fehler.,I apologize for the mistake.
sich bewerben,to apply,Ich bewerbe mich um die Stelle.,I apply for the job.
ankommen,to arrive,Wir kommen am Bahnhof an.,We arrive at the station.
verhaften,to arrest,Die Polizei verhaftet den Dieb.,The police arrest the thief.
fragen,to ask,Ich frage eine Frage.,I ask a question.
backen,to bake,Sie backt einen Kuchen.,She bakes a cake.
sein,to be-is/am/are,Ich bin Student.,I am a student.
können,to be able to,Ich kann schwimmen.,I can swim.
geboren werden,to be born,Er wurde in Berlin geboren.,He was born in Berlin.
heißen,to be called,Ich heiße Anna.,My name is Anna.
beginnen,to begin,Der Unterricht beginnt jetzt.,The lesson begins now.
glauben,to believe,Ich glaube dir.,I believe you.
gehören,to belong,Das Buch gehört mir.,The book belongs to me.
blinken,to blink,Er blinzelt mit den Augen.,He blinks his eyes.
bluten,to bleed,Ich blute am Finger.,I bleed from my finger.
kochen,to boil,Das Wasser kocht.,The water boils.
buchen,to book,Ich buche einen Flug.,I book a flight.
leihen,to borrow,Ich leihe ein Buch aus der Bibliothek.,I borrow a book from the library.
atmen,to breathe,Wir atmen frische Luft.,We breathe fresh air.
bringen,to bring,Ich bringe Blumen.,I bring flowers.
bürsten,to brush,Sie bürstet ihr Haar.,She brushes her hair.
bauen,to build,Sie bauen ein Haus.,They build a house.
brennen,to burn,Das Feuer brennt.,The fire burns.
begraben,to bury,Wir begraben den Schatz.,We bury the treasure.
kaufen,to buy,Ich kaufe Brot.,I buy bread.
rufen,to call,Ich rufe meinen Freund.,I call my friend.
absagen,to cancel,Ich sage das Treffen ab.,I cancel the meeting.
tragen,to carry,Er trägt eine Tasche.,He carries a bag.
ändern,to change,Sie ändert ihren Plan.,She changes her plan.
prüfen,to check,Der Lehrer prüft die Hausaufgabe.,The teacher checks the homework.
wählen,to choose,Ich wähle das rote Hemd.,I choose the red shirt.
reinigen,to clean,Wir reinigen das Zimmer.,We clean the room.
klettern,to climb,Das Kind klettert auf den Baum.,The child climbs the tree.
schließen,to close,Bitte schließe die Tür.,Please close the door.
kämmen,to comb,Sie kämmt ihr Haar.,She combs her hair.
vergleichen,to compare,Ich vergleiche zwei Preise.,I compare two prices.
verbinden,to connect,Ich verbinde das Kabel.,I connect the cable.
gratulieren,to congratulate,Ich gratuliere dir.,I congratulate you.
koordinieren,to coordinate,Sie koordiniert das Projekt.,She coordinates the project.
kopieren,to copy,Ich kopiere den Text.,I copy the text.
korrigieren,to correct,Der Lehrer korrigiert ,The teacher corrects 
husten,to cough,Er hustet laut.,He coughs loudly.
zählen,to count,Ich zähle bis zehn.,I count to ten.
schneiden,to cut,Sie schneidet das Brot.,She cuts the bread.
tanzen,to dance,Wir tanzen zusammen.,We dance together.
entscheiden,to decide,Ich entscheide heute.,I decide today.
dekorieren,to decorate,Wir dekorieren das Zimmer.,We decorate the room.
besiegen,to defeat,Die Mannschaft besiegt den Gegner.,The team defeats the opponent.
definieren,to define,Der Lehrer definiert das Wort.,The teacher defines the word.
löschen,to delete,Ich lösche die Datei.,I delete the file.
liefern,to deliver,Der Postbote liefert den Brief.,The postman delivers the letter.
verlangen,to demand,Ich verlange Respekt.,I demand respect.
beschreiben,to describe,Sie beschreibt das Bild.,She describes the picture.
entwerfen,to design,Er entwirft ein Haus.,He designs a house.
entwickeln,to develop,Sie entwickeln eine neue App.,They develop a new app.
sterben,to die,Die Blume stirbt.,The flower dies.
nicht zustimmen,to disagree,Ich stimme ihm nicht zu.,I disagree with him.
trennen,to disconnect,Ich trenne das Kabel.,I disconnect the cable.
diskutieren,to discuss,Wir diskutieren das Problem.,We discuss the problem.
entdecken,to discover,Er entdeckt ein Geheimnis.,He discovers a secret.
herunterladen,to download,Ich lade ein Lied herunter.,I download a song.
zeichnen,to draw,Das Kind zeichnet eine Katze.,The child draws a cat.
trinken,to drink,Ich trinke Wasser.,I drink water.
fahren,to drive,Er fährt das Auto.,He drives the car.
trocknen,to dry,Die Sonne trocknet die Kleider.,The sun dries the clothes.
essen,to eat,Wir essen einen Apfel.,We eat an apple.
leeren,to empty,Ich leere das Glas.,I empty the glass.
enden,to end,Der Film endet bald.,The movie ends soon.
genießen,to enjoy,Ich genieße die Musik.,I enjoy the music.
erleben,to experience,Wir erleben ein Abenteuer.,We experience an adventure.
erklären,to explain,Er erklärt die Regeln.,He explains the rules.
fallen,to fall,Der Apfel fällt vom Baum.,The apple falls from the tree.
fühlen,to feel,Ich fühle mich glücklich.,I feel happy.
kämpfen,to fight,Sie kämpfen für die Freiheit.,They fight for freedom.
füllen,to fill,Ich fülle die Flasche mit Wasser.,I fill the bottle with water.
filmen,to film,Er filmt die Hochzeit.,He films the wedding.
finden,to find,Ich finde die Schlüssel.,I find the keys.
folgen,to follow,Der Hund folgt mir.,The dog follows me.
vergeben,to forgive,Ich vergebe meinem Freund.,I forgive my friend.
frieren,to freeze,Ich friere in der Kälte.,I freeze in the cold.
braten,to fry,Er brät die Kartoffeln.,He fries the potatoes.
funktionieren,to function,Die Maschine funktioniert gut.,The machine functions well.
bekommen,to get,Ich bekomme ein Geschenk.,I get a gift.
aufstehen,to get up,Ich stehe um sieben Uhr auf.,I get up at 7 o’clock.
geben,to give,Sie gibt mir ein Buch.,She gives me a book.
gehen,to go,Wir gehen zur Schule.,We go to school.
ausgehen,to go out,Sie gehen heute Abend aus.,They go out tonight.
grüßen,to greet,Ich grüße meinen Nachbarn.,I greet my neighbor.
grillen,to grill,Wir grillen Würstchen.,We grill sausages.
raten,to guess,Kannst du die Antwort raten?,Can you guess the answer?
hängen,to hang,Das Bild hängt an der Wand.,The picture hangs on the wall.
hassen,to hate,Ich hasse Lügen.,I hate lies.
haben,to have,Ich habe ein Auto.,I have a car.
hören,to hear,Ich höre Musik.,I hear music.
heizen,to heat,Wir heizen das Zimmer.,We heat the room.
helfen,to help,Sie hilft ihrem Bruder.,She helps her brother.
hoffen,to hope,Ich hoffe auf gutes Wetter.,I hope for good weather.
halten,to hold,Er hält meine Hand.,He holds my hand.
verbessern,to improve,Sie verbessert ihr Deutsch.,She improves her German.
installieren,to install,Ich installiere das Programm.,I install the program.
einladen,to invite,Ich lade meine Freunde ein.,I invite my friends.
jucken,to itch,Mein Arm juckt.,My arm itches.
beitreten,to join,Ich trete dem Verein bei.,I join the club.
springen,to jump,Die Katze springt auf den Tisch.,The cat jumps on the table.
küssen,to kiss,Sie küssen sich.,They kiss each other.
stricken,to knit,Meine Großmutter strickt,My grandmother knits.
klopfen,to knock,Jemand klopft an die Tür.,Someone knocks on the door.
wissen,to know,Ich weiß die Antwort.,I know the answer.
lachen,to laugh,Wir lachen über den Witz.,We laugh at the joke.
lernen,to learn,Ich lerne Deutsch.,I learn German.
verlassen,to leave,Er verlässt das Haus.,He leaves the house.
mögen,to like,Ich mag Pizza.,I like pizza.
zuhören,to listen,Bitte hör mir zu.,Please listen to me.
leben,to live,Sie leben in Berlin.,They live in Berlin.
laden,to load,Ich lade die Kisten.,I load the boxes.
verlieren,to lose,Ich verliere meine Schlüssel.,I lose my keys.
lieben,to love,Ich liebe meine Familie.,I love my family.
schaffen,to manage,Ich schaffe die Aufgabe.,I manage the task.
machen,to make ,Ich mache Frühstück.,I make breakfast.
mischen,to mix,Sie mischt die Farben.,She mixes the colors.
müssen,to must,Ich muss jetzt gehen.,I must go now.
nennen,to name,Er nennt die Farben.,He names the colors.
brauchen,to need,Ich brauche Hilfe.,I need help.
bemerken,to notice,Ich bemerke den Fehler.,I notice the mistake.
öffnen,to open,Bitte öffne das Fenster.,Please open the window.
bestellen,to order,Ich bestelle eine Pizza.,I order a pizza.
organisieren,to organize,Wir organisieren eine Party.,We organize a party.
packen,to pack,Ich packe meinen Koffer.,I pack my suitcase.
malen,to paint,Das Kind malt ein Bild.,The child paints a picture.
parken,to park,Er parkt das Auto.,He parks the car.
teilnehmen,to participate,Ich nehme am Spiel teil.,I participate in the game.
einfügen,to paste,Ich füge den Text ein.,I paste the text.
bezahlen,to pay,Sie bezahlt die Rechnung.,She pays the bill.
fotografieren,to photograph,Er fotografiert die Stadt.,He photographs the city.
planen,to plan,Wir planen eine Reise.,We plan a trip.
spielen,to play,Die Kinder spielen Fußball.,The children play football.
pflanzen,to plant,Sie pflanzen einen Baum.,They plant a tree.
üben,to practice,Ich übe Klavier.,I practice the piano.
vorbereiten,to prepare,Sie bereitet das Abendessen vor.,She prepares dinner.
drücken,to press,Er drückt den Knopf.,He presses the button.
drucken,to print,Ich drucke das Dokument.,I print the document.
beweisen,to prove,Er beweist seinen Standpunkt.,He proves his point.
ziehen,to pull,Ich ziehe die Tür.,I pull the door.
schieben ,to push,Sie schiebt die Kiste.,She pushes the box.
lesen,to read,Ich lese ein Buch.,I read a book.
erhalten ,to receive,Ich erhalte einen Brief.,I receive a letter.
reparieren,to repair,Er repariert das Fahrrad.,He repairs the bike.
wiederholen,to repeat,Bitte wiederhole die Frage.,Please repeat the question.
reservieren,to reserve,Ich reserviere einen Tisch.,I reserve a table.
neu starten,to restart,Er startet den Computer neu.,He restarts the computer.
retten,to rescue,Der Feuerwehrmann rettet das Kind.,The firefighter rescues the child.
steigen ,to rise,Die Sonne steigt auf.,The sun rises.
laufen,to run,Ich laufe zur Schule.,I run to school.
sagen,to say,Er sagt Hallo.,He says hello.
scannen,to scan,Ich scanne das Dokument.,I scan the document.
schreien,to scream,Das Baby schreit laut.,The baby screams loudly.
sehen,to see,Ich sehe die Sterne.,I see the stars.
verkaufen,to sell,Sie verkaufen Obst.,They sell fruits.
senden ,to send,Ich sende eine E-Mail.,I send an email.
nähen,to sew,Sie näht ein Kleid.,She sews a dress.
einkaufen,to shop,Wir kaufen im Markt ein.,We shop in the market.
sollen,to should,Du sollst mehr essen.,You should eat more.
zeigen,to show,Er zeigt das Bild.,He shows the picture.
duschen,to shower,Ich dusche jeden Morgen.,I shower every morning.
signieren,to sign,Ich signiere das Dokument jeden Tag.,I sign the document every day.
singen,to sing,Sie singt wunderschön.,She sings beautifully.
sitzen,to sit,Wir sitzen jeden Nachmittag im Park.,We sit in the park every afternoon.
schlafen,to sleep,Er schläft jede Nacht acht Stunden.,He sleeps eight hours every night.
riechen,to smell,Die Blumen riechen wunderbar.,The flowers smell amazing.
lächeln,to smile,"Sie lächelt, wenn sie glücklich ist.",She smiles when she is happy.
niesen,to sneeze,"Er niest, wenn er Allergien hat.",He sneezes when he has allergies.
lösen,to solve,Ich löse Probleme bei der Arbeit.,I solve problems at work.
sortieren,to sort,Wir sortieren die Papiere nach Datum.,We sort the papers by date.
stehen,to stand,Sie stehen in der Schlange für Tickets.,They stand in line for tickets.
starten,to start,Ich starte meine Arbeit um 9 Uhr.,I start my work at 9 AM.
bleiben,to stay,Wir übernachten in einem Hotel,We stay at a hotel
stehlen,to steal,Er stiehlt Süßigkeiten aus dem Glas.,He steals sweets from the jar.
dehnen,to stretch,Er dehnt sich vor dem Training.,He stretches before exercising.
studieren,to study,Ich studiere jeden Abend Deutsch.,I study German every evening.
leiden,to suffer,Er leidet an einer Erkältung.,He suffers from a cold.
vorschlagen,to suggest,"Ich schlage vor, eine Pause zu machen.",I suggest taking a break.
unterstützen,to support,Sie unterstützen ihre Freunde.,They support their friends.
überraschen,to surprise,Er überrascht sie mit Blumen.,He surprises her with flowers.
schwitzen,to sweat,Sie schwitzt viel beim Training.,She sweats a lot during workouts.
schwimmen,to swim,Wir schwimmen jeden Sommer im See.,We swim in the lake every summer.
nehmen,to take,Er nimmt den Bus zur Arbeit.,He takes the bus to work.
schmecken,to taste,Dieser Kuchen schmeckt lecker.,This cake tastes delicious.
unterrichten,to teach,Sie unterrichtet Englisch für Kinder.,She teaches English to children.
sprechen,to talk,Wir sprechen über unsere Pläne.,We talk about our plans.
danken,to thank,Ich danke dir für deine Hilfe.,I thank you for your help.
denken,to think,Ich denke über meine Zukunft nach.,I think about my future.
reisen,to travel,Wir reisen jeden Sommer nach Deutschland.,We travel to Germany every summer.
versuchen,to try,"Er versucht, das Problem zu lösen.",He tries to solve the problem.
drehen,to turn,Sie dreht den Knauf langsam.,She turns the knob slowly.
verstehen,to understand,Ich verstehe die Anweisungen.,I understand the instructions.
aufbinden,to untie,Er bindet das Seil vorsichtig auf.,He unties the rope carefully.
hochladen,to upload,Sie lädt Fotos auf die Website hoch.,She uploads photos to the website.
benutzen,to use,Wir benutzen den Computer für die Arbeit.,We use the computer for work.
besuchen,to visit,Ich besuche meine Großeltern.,I visit my grandparents
wählen,to vote,Sie wählen bei jeder Wahl.,They vote in every election.
warten,to wait,Wir warten jeden Morgen auf den Bus.,We wait for the bus every morning.
aufwachen,to wake up,Ich wache um 7 Uhr auf.,I wake up at 7 AM.
wollen,to want,Ich will eine Tasse Kaffee.,I want a cup of coffee.
warnen,to warn,Er warnt mich vor der Gefahr.,He warns me about the danger.
waschen,to wash,Ich wasche meine Hände vor dem Essen.,I wash my hands before eating.
fernsehen,to watch TV,Wir sehen jeden Abend fern.,We watch TV every evening.
wiegen,to weigh,Sie wiegt das Gemüse sorgfältig.,She weighs the vegetables carefully.
flüstern,to whisper,Er flüstert ihr ein Geheimnis zu.,He whispers a secret to her.
gewinnen,to win,Sie gewinnen das Spiel leicht.,They win the game easily.
wünschen,to wish,Ich wünsche dir alles Gute zum Geburtstag.,I wish you a happy birthday.
trainieren,to work out,Er trainiert jeden Tag im Fitnessstudio.,He works out at the gym every day.
schreiben,to write,Ich schreibe E-Mails an meine Kunden.,I write emails to my clients.
